Weekday,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Route,100 - Red,,,,,,,,,,,,,,,,,,,,,,
,,,DEPART,ARRIVE,ARRIVE,,DEPART,ARRIVE,,DEPART,ARRIVE,,DEPART,ARRIVE,,DEPART,ARRIVE,,DEPART,,,,,,,
,,Stop Name,Downtown,Bayfield at Highway 400,Georgian Mall,,Georgian Mall,Georgian College,,Georgian College,RVH,,RVH,Johnson at Blake,,Johnson at Blake,Downtown,,Downtown,,,,,,,
,,Stop ID,1,57,441,R,441,330,R,330,559,R,559,399,R,399,1,R,1,Travel Time,Cycle Time,R,R Ratio,Frequency,,
,0,Early Morning,7:06 AM,7:12 AM,7:18 AM,1,7:19 AM,7:30 AM,0,7:30 AM,7:32 AM,0,7:32 AM,7:39 AM,0,7:39 AM,7:48 AM,6,7:54 AM,41,48,7,17%,,,Headway Management
,1,Morning,7:25 AM,7:31 AM,7:37 AM,1,7:38 AM,7:50 AM,0,7:50 AM,7:52 AM,0,7:52 AM,8:00 AM,0,8:00 AM,8:09 AM,7,8:16 AM,43,51,8,19%, 22 ,,Dt Connection
,1,Morning,7:54 AM,8:00 AM,8:06 AM,1,8:07 AM,8:19 AM,0,8:19 AM,8:21 AM,0,8:21 AM,8:29 AM,0,8:29 AM,8:38 AM,5,8:43 AM,43,49,6,14%, 27 ,,400 Connection
,1,Morning,8:16 AM,8:22 AM,8:28 AM,1,8:29 AM,8:41 AM,0,8:41 AM,8:43 AM,0,8:43 AM,8:51 AM,0,8:51 AM,9:00 AM,7,9:07 AM,43,51,8,19%, 24 ,,GC Connection
,1,Morning,8:43 AM,8:49 AM,8:55 AM,1,8:56 AM,9:08 AM,0,9:08 AM,9:10 AM,0,9:10 AM,9:18 AM,0,9:18 AM,9:27 AM,5,9:32 AM,43,49,6,14%, 25 ,,GO Train
,1,Morning,9:07 AM,9:13 AM,9:19 AM,1,9:20 AM,9:32 AM,0,9:32 AM,9:34 AM,0,9:34 AM,9:42 AM,0,9:42 AM,9:51 AM,5,9:56 AM,43,49,6,14%, 24 ,,Bayfield Shift Times
,1,Morning,9:32 AM,9:38 AM,9:44 AM,1,9:45 AM,9:57 AM,0,9:57 AM,9:59 AM,0,9:59 AM,10:07 AM,0,10:07 AM,10:16 AM,5,10:21 AM,43,49,6,14%, 25 ,,Ridership Med (Over 40)
,1,Morning,9:56 AM,10:02 AM,10:08 AM,1,10:09 AM,10:21 AM,0,10:21 AM,10:23 AM,0,10:23 AM,10:31 AM,0,10:31 AM,10:40 AM,5,10:45 AM,43,49,6,14%, 24 ,,Ridership High (Over 50)
,2,Midday,10:21 AM,10:27 AM,10:33 AM,1,10:34 AM,10:46 AM,0,10:46 AM,10:48 AM,0,10:48 AM,10:56 AM,0,10:56 AM,11:05 AM,5,11:10 AM,43,49,6,14%, 25 ,,
,2,Midday,10:45 AM,10:51 AM,10:57 AM,1,10:58 AM,11:10 AM,0,11:10 AM,11:12 AM,0,11:12 AM,11:20 AM,0,11:20 AM,11:29 AM,5,11:34 AM,43,49,6,14%, 24 ,,
,2,Midday,11:10 AM,11:16 AM,11:22 AM,1,11:23 AM,11:35 AM,0,11:35 AM,11:37 AM,0,11:37 AM,11:45 AM,0,11:45 AM,11:54 AM,5,11:59 AM,43,49,6,14%, 25 ,,
,2,Midday,11:34 AM,11:40 AM,11:46 AM,1,11:47 AM,11:59 AM,0,11:59 AM,12:01 PM,0,12:01 PM,12:09 PM,0,12:09 PM,12:18 PM,5,12:23 PM,43,49,6,14%, 24 ,,
,2,Midday,11:59 AM,12:05 PM,12:11 PM,1,12:12 PM,12:24 PM,0,12:24 PM,12:26 PM,0,12:26 PM,12:34 PM,0,12:34 PM,12:43 PM,5,12:48 PM,43,49,6,14%, 25 ,,
