Title,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier
Half-Hour,07:00 - 07:29,07:30 - 07:59,08:00 - 08:29,08:30 - 08:59,09:00 - 09:29,09:30 - 09:59,10:00 - 10:29,10:30 - 10:59,11:00 - 11:29,11:30 - 11:59,12:00 - 12:29,12:30 - 12:59,13:00 - 13:29,13:30 - 13:59,14:00 - 14:29,14:30 - 14:59,15:00 - 15:29,15:30 - 15:59,16:00 - 16:29,16:30 - 16:59,17:00 - 17:29,17:30 - 17:59,18:00 - 18:29,18:30 - 18:59,19:00 - 19:29,19:30 - 19:59,20:00 - 20:29,20:30 - 20:59,21:00 - 21:29,22:00 - 22:29
101 CCW Observed Runtime-25%,6.6,7.82,6.65,7.87,7.09,6.88,7.11,7.27,8.2,7.15,8.59,7.97,7.69,7.3,9.15,7.68,7.95,7.67,7.44,8.05,7.44,6.6,7.14,7.19,7.14,6.76,7.66,6.55,7.24,6.72
101 CCW Observed Runtime-50%,7.11,7.92,6.97,8.34,7.6,7.54,7.99,7.96,8.98,7.31,9.15,8.82,8.48,8.21,9.33,8.7,8.19,8.29,8.03,8.75,7.95,7.57,7.35,7.47,8.7,7.47,8.03,7.66,7.89,7.48
101 CCW Observed Runtime-80%,8.58,8.65,8.49,8.86,8.66,8.27,8.64,8.7,9.7,8.73,10.54,9.79,9.13,9.78,10.2,10.73,8.93,9.57,9.02,9.31,8.83,9.33,8.03,8.3,9.21,10.43,8.81,8.16,8.86,8.71
101 CCW Observed Runtime-90%,8.59,8.91,8.52,9.33,8.83,8.43,9.98,8.72,9.7,9.16,11.79,10.07,10.8,10.07,10.2,11.07,9.08,9.61,9.46,9.74,10.03,11.03,8.53,8.53,9.82,10.43,9.27,8.16,9.36,9.75
101 CCW Scheduled Runtime-10%,8,8,8,8,8,8,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,8,8,8,8
101 CCW Scheduled Runtime-50%,8,8,8,8,8,8,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,8,8,8,8
101 CCW Scheduled Runtime-90%,8,8,8,8,8,8,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,8,8,8
Title,Johnson at Napier to RVH Atrium Entrance,Johnson at Napier to RVH Atrium Entrance,Johnson at Napier to RVH Atrium Entrance,Johnson at Napier to RVH Atrium Entrance,Johnson at Napier to RVH Atrium Entrance,Johnson at Napier to RVH Atrium Entrance,Johnson at Napier to RVH Atrium Entrance,Johnson at Napier to RVH Atrium Entrance,Johnson at Napier to RVH Atrium Entrance,Johnson at Napier to RVH Atrium Entrance,Johnson at Napier to RVH Atrium Entrance,Johnson at Napier to RVH Atrium Entrance,Johnson at Napier to RVH Atrium Entrance,Johnson at Napier to RVH Atrium Entrance,Johnson at Napier to RVH Atrium Entrance,Johnson at Napier to RVH Atrium Entrance,Johnson at Napier to RVH Atrium Entrance,Johnson at Napier to RVH Atrium Entrance,Johnson at Napier to RVH Atrium Entrance,Johnson at Napier to RVH Atrium Entrance,Johnson at Napier to RVH Atrium Entrance,Johnson at Napier to RVH Atrium Entrance,Johnson at Napier to RVH Atrium Entrance,Johnson at Napier to RVH Atrium Entrance,Johnson at Napier to RVH Atrium Entrance,Johnson at Napier to RVH Atrium Entrance,Johnson at Napier to RVH Atrium Entrance,Johnson at Napier to RVH Atrium Entrance,Johnson at Napier to RVH Atrium Entrance,Johnson at Napier to RVH Atrium Entrance
